name,category,ministry,state_coverage,benefits_summary,description
National Welfare Scheme 121 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 122 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 123 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 124 (Health),Health,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 125 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 126 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 127 (MSME),MSME,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 128 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 129 (Finance),Finance,Ministry of Education,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 130 (Education),Education,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 131 (Education),Education,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 132 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 133 (Finance),Finance,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 134 (Health),Health,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 135 (Health),Health,Ministry of Education,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 136 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 137 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 138 (MSME),MSME,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 139 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 140 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 141 (Education),Education,Ministry of Finance,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 142 (Health),Health,Ministry of Finance,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 143 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 144 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 145 (Agriculture),Agriculture,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 146 (MSME),MSME,Ministry of Education,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 147 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 148 (Finance),Finance,Ministry of Education,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 149 (Education),Education,Ministry of Education,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 150 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 151 (Education),Education,Ministry of Finance,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 152 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 153 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 154 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 155 (Finance),Finance,Ministry of Education,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 156 (Agriculture),Agriculture,Ministry of Finance,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 157 (Finance),Finance,Ministry of Education,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 158 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 159 (Finance),Finance,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 160 (MSME),MSME,Ministry of Education,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 161 (Health),Health,Ministry of Education,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 162 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 163 (Agriculture),Agriculture,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 164 (Education),Education,Ministry of Education,Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 165 (Finance),Finance,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 166 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 167 (Health),Health,Ministry of Education,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 168 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 169 (Health),Health,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 170 (Health),Health,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 171 (MSME),MSME,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 172 (Agriculture),Agriculture,Ministry of Finance,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 173 (Finance),Finance,Ministry of Finance,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 174 (Health),Health,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 175 (MSME),MSME,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 176 (Health),Health,Ministry of Education,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 177 (Finance),Finance,Ministry of Finance,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 178 (MSME),MSME,Ministry of Education,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 179 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 180 (MSME),MSME,Ministry of Education,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 181 (Finance),Finance,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 182 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 183 (Education),Education,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 184 (MSME),MSME,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 185 (Education),Education,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 186 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 187 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 188 (Agriculture),Agriculture,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 189 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 190 (Education),Education,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 191 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 192 (Finance),Finance,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 193 (Education),Education,Ministry of Education,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 194 (Finance),Finance,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 195 (Education),Education,Ministry of Finance,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 196 (Health),Health,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 197 (Education),Education,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 198 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 199 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 200 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 201 (Finance),Finance,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 202 (Education),Education,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 203 (Health),Health,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 204 (MSME),MSME,Ministry of Education,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 205 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 206 (Health),Health,Ministry of Finance,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 207 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 208 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 209 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 210 (Finance),Finance,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 211 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 212 (MSME),MSME,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 213 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 214 (Education),Education,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 215 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 216 (Finance),Finance,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 217 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 218 (Education),Education,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 219 (Education),Education,Ministry of Finance,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 220 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 221 (Agriculture),Agriculture,Ministry of Finance,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 222 (Education),Education,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 223 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 224 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 225 (Education),Education,Ministry of Finance,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 226 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 227 (Education),Education,Ministry of Education,Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 228 (Education),Education,Ministry of Finance,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 229 (Education),Education,Ministry of Education,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 230 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 231 (Education),Education,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 232 (Education),Education,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 233 (Education),Education,Ministry of Finance,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 234 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 235 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 236 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 237 (Agriculture),Agriculture,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 238 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 239 (Agriculture),Agriculture,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 240 (Health),Health,Ministry of Finance,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 241 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
